b'#MarketAlert (Last 24h):\nTop 100 price change: -3.0% (avg)\n89 of the top 100 coins declining\n@bitcoin: -1.6% $BTC https://t.co/0248ET2OFR',Positive
b'https://t.co/zTDIk3eeOB #jetwin',Negative
b'RT @menapayio: Our CTO @orbayt on the future of #blockchain; "Even though some people claim that the explosion occurred with the decrease o\xe2\x80\xa6',Negative
b'RT @hostingicos: Retweet Bounty Competition.\n\nSupport @hostingicos \n\nTop 10 Lucky Winner Will Get\n\nhttps://t.co/gOfktEUs9e Tokens Worth \n(\xe2\x80\xa6',Positive
b'#DASH Price is 0.02398752 (-0.00001418) #BTC / 153.940484581 (+0.32967) #USD. Market rank is 14. #dash #bitcoin #blockchain',Negative
b'Worst returns (24h):\n1. Bitcoin Private -10.9% $BTCP\n2. Aurora -9.8% $AOA\n3. Nuls -7.5% $NULS\n#blockchain #altcoins https://t.co/5AZmvcWJpB',Negative
b'#ICO, #Bitcoin ,#EThereum, #Planport https://t.co/rChN6dztgq',Negative
b'RT @davidgokhshtein: https://t.co/g7YAMMs8gK',Negative
b'RT @Cointelegraph: Bitcoin and Ethereum are up, with Ripple reporting the strongest gains. ETFs are still very much on the horizon, as Swed\xe2\x80\xa6',Positive
b'RT @TRX_News: RT Tronfoundation "RT justinsuntron: Use #TRX to pay for Amazon &amp; Starbucks items with BitcoinSuperst1 https://t.co/OssMoSPKL\xe2\x80\xa6',Negative
b'#domainnames #startups #Crypto #branding #Bitcoin #Seo\nhttps://t.co/izpbXOlTSb\nhttps://t.co/OeO6XMlMyv https://t.co/eEboO8bbRd',Negative
b'RT @stakecube: \xf0\x9f\x8e\x81MASSIVE BITCOIN GREEN GIVEWAY\xf0\x9f\x8e\x81\n\n-Follow @btc_green + @stakecube + @madikou1 \n-Like &amp; Retweet this tweet \n-Tag one friend\n-J\xe2\x80\xa6',Negative
b'"Les encaissements ont commenc\xc3\xa9 lentement et \xc3\xa7a s\'est acc\xc3\xa9l\xc3\xa9r\xc3\xa9 ... https://t.co/xwYSRQ0lIX',Negative
